taxonomic_level,name,ioc_species_count,authority_min,authority_max,authority_spread
genus,Cnemathraupis,2,2,2,0
genus,Cnemophilus,2,2,2,0
genus,Cnemoscopus,2,1,2,1
genus,Cnemotriccus,1,1,1,0
genus,Cnipodectes,2,2,2,0
genus,Coccopygia,3,2,3,1
genus,Coccothraustes,1,1,1,0
genus,Coccycua,3,3,3,0
genus,Coccyzus,13,13,13,0
genus,Cochlearius,1,1,1,0
genus,Cochoa,4,4,4,0
genus,Coeligena,15,11,15,4
genus,Coenocorypha,5,3,5,2
genus,Coereba,1,1,1,0
genus,Colaptes,15,13,15,2
genus,Colibri,5,4,5,1
genus,Colinus,4,3,4,1
genus,Colius,4,4,4,0
genus,Collocalia,11,3,11,8
genus,Colluricincla,5,5,5,0
genus,Coloeus,2,2,2,0
genus,Colonia,1,1,1,0
genus,Colorhamphus,1,1,1,0
genus,Columba,34,34,34,0
genus,Columbina,9,9,9,0
genus,Compsothraupis,1,1,1,0
genus,Conioptilon,1,1,1,0
genus,Conirostrum,11,11,11,0
genus,Conopias,4,4,4,0
genus,Conopophaga,10,8,10,2
genus,Conopophila,3,3,3,0
genus,Conothraupis,2,2,2,0
genus,Contopus,16,14,16,2
genus,Conuropsis,1,1,1,0
genus,Copsychus,17,10,17,7
genus,Coracias,9,8,9,1
genus,Coracina,27,21,27,6
genus,Coracopsis,4,3,4,1
genus,Coracornis,2,2,2,0
genus,Coragyps,1,1,1,0
genus,Corapipo,3,2,3,1
genus,Corcorax,1,1,1,0
genus,Cormobates,2,2,2,0
genus,Corthylio,1,1,1,0
genus,Corvinella,1,1,1,0
genus,Corvus,50,41,50,9
genus,Corydon,1,1,1,0
genus,Corypha,11,5,11,6
genus,Coryphaspiza,1,1,1,0
genus,Coryphistera,1,1,1,0
genus,Coryphospingus,2,2,2,0
genus,Corythaeola,1,1,1,0
genus,Corythopis,2,2,2,0
genus,Corythornis,4,4,4,0
genus,Coscoroba,1,1,1,0
genus,Cossypha,8,8,8,0
genus,Cossyphicula,2,2,2,0
genus,Cotinga,7,7,7,0
genus,Coturnicops,2,2,2,0
genus,Coturnix,6,6,6,0
genus,Coua,11,10,11,1
genus,Cracticus,6,6,6,0
genus,Cranioleuca,20,18,20,2
genus,Crax,7,7,7,0
genus,Creagrus,1,1,1,0
genus,Creatophora,1,1,1,0
genus,Crecopsis,1,1,1,0
genus,Creurgops,2,2,2,0
genus,Crex,1,1,1,0
genus,Crinifer,5,5,5,0
genus,Criniger,5,5,5,0
genus,Crithagra,38,37,38,1
genus,Crossleyia,2,2,2,0
genus,Crossoptilon,4,4,4,0
genus,Crotophaga,3,3,3,0
genus,Crypsirina,2,2,2,0
genus,Cryptillas,1,1,1,0
genus,Cryptoleucopteryx,1,1,1,0
genus,Cryptolybia,1,1,1,0
genus,Cryptomicroeca,1,1,1,0
genus,Cryptopezus,1,1,1,0
genus,Cryptophaps,1,1,1,0
genus,Cryptopipo,2,1,2,1
genus,Cryptospiza,4,4,4,0
genus,Cryptosylvicola,1,1,1,0
genus,Crypturellus,21,21,21,0
genus,Cuculus,11,10,11,1
genus,Culicicapa,2,2,2,0
genus,Culicivora,1,1,1,0
genus,Curaeus,1,1,1,0
genus,Curruca,25,24,25,1
genus,Cursorius,5,5,5,0
genus,Cutia,2,1,2,1
genus,Cyanerpes,4,4,4,0
genus,Cyanicterus,1,1,1,0
genus,Cyanistes,3,3,3,0
genus,Cyanochen,1,1,1,0
genus,Cyanocitta,2,2,2,0
genus,Cyanocompsa,1,1,1,0
genus,Cyanocorax,19,19,19,0
genus,Cyanoderma,7,6,7,1
genus,Cyanograucalus,1,1,1,0
genus,Cyanolanius,2,1,2,1
genus,Cyanoliseus,1,1,1,0
genus,Cyanoloxia,4,3,4,1
genus,Cyanolyca,9,9,9,0
genus,Cyanomitra,7,7,7,0
genus,Cyanopica,2,1,2,1
genus,Cyanopsitta,1,1,1,0
genus,Cyanoptila,2,2,2,0
genus,Cyanoramphus,11,7,11,4
genus,Cyclarhis,2,2,2,0
genus,Cyclopsitta,4,4,4,0
genus,Cygnus,6,6,6,0
genus,Cymbilaimus,2,2,2,0
genus,Cymbirhynchus,1,1,1,0
genus,Cynanthus,6,4,6,2
genus,Cyornis,32,21,32,11
genus,Cyphorhinus,4,3,4,1
genus,Cypseloides,8,8,8,0
genus,Cypsiurus,3,2,3,1
genus,Cypsnagra,1,1,1,0
genus,Cyrtonyx,2,2,2,0
genus,Dacelo,5,5,5,0
genus,Dacnis,10,9,10,1
genus,Dactylortyx,1,1,1,0
genus,Daphoenositta,3,3,3,0
genus,Daption,1,1,1,0
genus,Daptrius,7,7,7,0
genus,Dasycrotapha,3,2,3,1
genus,Dasylophus,2,2,2,0
genus,Dasyornis,3,3,3,0
genus,Deconychura,3,1,3,2
genus,Delacourella,1,1,1,0
genus,Deleornis,2,1,2,1
genus,Delichon,4,3,4,1
genus,Dendragapus,2,2,2,0
genus,Dendrexetastes,1,1,1,0
genus,Dendrocincla,6,6,6,0
genus,Dendrocitta,7,7,7,0
genus,Dendrocolaptes,5,5,5,0
genus,Dendrocopos,12,11,12,1
genus,Dendrocoptes,3,3,3,0
genus,Dendrocygna,8,8,8,0
genus,Dendroma,2,2,2,0
genus,Dendronanthus,1,1,1,0
genus,Dendropicos,12,10,12,2
genus,Dendroplex,2,2,2,0
genus,Dendrortyx,3,3,3,0
genus,Deroptyus,1,1,1,0
genus,Dessonornis,4,4,4,0
genus,Devioeca,1,1,1,0
genus,Diaphorapteryx,1,1,1,0
genus,Dicaeum,44,32,44,12
genus,Dichrozona,1,1,1,0
genus,Dicrurus,28,22,28,6
genus,Didunculus,1,1,1,0
genus,Diglossa,19,18,19,1
genus,Dinemellia,1,1,1,0
